"Kazalniki za investicije za varstvo okolja po: STATISTIÈNA REGIJA, LETO"
", INVESTICIJE"

" ";"2001";" ";" ";" ";" ";" ";" ";" ";"2002";" ";" ";" ";" ";" ";" ";" ";"2003";" ";" ";" ";" ";" ";" ";" ";"2004";" ";" ";" ";" ";" ";" ";" ";"2005";" ";" ";" ";" ";" ";" ";" ";"2006";" ";" ";" ";" ";" ";" ";" ";"2007";" ";" ";" ";" ";" ";" ";" ";"2008";" ";" ";" ";" ";" ";" ";" ";"2009";" ";" ";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";" ";" ";"2016";" ";" ";" ";" ";" ";" ";" "
"Primorsko-notranjska";0.5;17.8;5.3;4.2;0.1;1.5;0.1;0.5;0.1;3.7;0.9;0.1;0.2;1.5;0.2;0.6;0.1;3.5;0.7;0.1;0.1;1.1;0.1;0.5;0.1;3.4;1.0;0.1;0.1;1.0;0.2;0.4;0.1;4.0;1.1;0.2;0.1;1.2;0.1;0.5;0.1;2.6;0.9;0.1;0.2;1.1;0.1;0.6;0.6;4.2;1.4;0.4;0.2;1.0;0.1;0.5;0.5;2.9;1.0;0.0;0.2;1.5;0.5;0.5;0.4;3.0;0.8;0.1;0.1;0.9;0.0;0.5;0.2;2.5;0.4;0.0;0.1;1.0;0.0;0.5;0.3;3.6;0.7;0.4;0.0;0.9;0.0;0.4;0.1;2.8;0.5;0.0;0.3;0.9;0.7;0.6;0.1;1.1;0.2;0.0;0.0;1.1;0.0;0.4;1.5;10.2;2.3;0.1;0.0;1.3;0.0;0.6;0.2;1.3;0.3;0.1;0.0;1.4;0.1;0.6;0.1;0.9;0.4;0.1;0.1;0.9;0.0;0.4
"ZAHODNA SLOVENIJA";0.1;2.4;28.2;8.7;2.5;37.0;2.6;18.1;0.2;4.5;45.0;8.8;8.3;39.8;2.3;23.2;0.1;3.2;30.5;10.1;5.8;34.5;2.8;20.3;0.1;3.6;46.3;12.4;9.2;36.8;2.3;21.1;0.1;3.9;37.4;7.8;6.9;38.3;2.0;24.1;0.1;3.8;36.3;11.4;7.5;40.4;1.8;26.2;0.6;3.4;43.0;12.1;10.7;40.2;1.9;26.2;0.8;6.7;45.5;13.4;10.1;37.7;2.5;22.6;0.8;4.8;45.7;5.9;12.4;42.8;2.4;28.0;0.5;4.4;26.2;5.3;8.1;47.6;2.3;30.6;0.5;4.6;38.2;13.0;5.7;44.0;29.3;41.0;0.8;3.9;26.0;10.3;4.3;43.1;29.0;41.3;0.8;7.1;42.9;4.5;7.0;47.9;25.6;49.2;1.1;6.2;41.2;5.7;10.3;43.6;30.6;41.3;1.5;9.8;71.4;7.6;34.5;45.7;39.7;43.4;0.6;4.1;60.8;10.2;29.1;49.5;45.8;46.8
"Osrednjeslovenska";0.1;1.9;15.3;5.1;0.6;20.7;1.4;8.4;0.1;2.7;20.2;5.5;3.6;21.5;0.8;11.7;0.1;2.5;17.4;6.9;3.6;19.1;1.5;10.2;0.1;3.2;27.4;7.8;6.1;23.0;1.3;12.3;0.1;3.3;21.2;3.9;4.4;25.3;1.2;16.0;0.1;3.1;19.9;6.1;5.1;28.2;0.9;18.5;0.6;3.2;27.1;6.6;8.9;28.3;1.1;18.7;0.7;4.1;26.8;7.5;7.0;26.4;1.6;15.4;0.6;3.4;21.4;3.1;9.5;29.2;1.7;19.2;0.6;4.5;18.9;3.8;7.0;33.5;1.6;22.4;0.6;5.3;29.3;10.9;4.3;32.3;1.5;20.3;0.9;2.6;12.1;3.5;2.7;30.3;23.6;29.5;0.9;7.5;32.2;1.8;5.0;33.5;1.6;20.3;0.9;6.2;28.9;3.8;9.1;30.2;1.4;18.6;1.7;10.2;54.0;4.6;31.2;31.2;1.6;18.4;0.7;4.2;46.1;6.6;27.5;32.4;2.1;18.7
"Gorenjska";0.1;2.5;3.9;1.1;0.4;7.2;0.9;4.3;0.4;16.2;17.8;2.5;3.2;8.8;1.0;5.0;0.2;4.6;5.8;1.7;1.2;7.5;0.7;5.1;0.1;5.1;7.5;0.9;1.6;6.7;0.7;4.2;0.2;5.5;7.5;0.9;1.2;5.9;0.6;3.6;0.2;6.6;7.9;2.9;0.9;5.1;0.5;3.2;0.6;3.7;6.5;2.3;0.8;5.9;0.4;4.1;0.8;5.6;7.2;1.6;1.5;5.4;0.5;3.8;1.0;6.6;8.8;0.4;0.5;5.5;0.3;3.8;0.5;5.2;3.9;0.3;0.5;6.6;0.3;3.8;0.6;4.6;6.2;1.3;0.9;4.4;0.2;2.9;0.4;6.9;7.0;6.1;0.2;5.2;2.9;5.6;0.4;3.8;3.4;1.2;0.7;6.1;0.3;3.5;1.1;8.8;8.0;1.4;0.5;5.5;0.2;3.1;2.0;14.0;14.5;2.4;2.9;6.2;0.4;3.4;0.5;4.3;7.6;1.7;0.4;6.6;0.7;3.4
"Goriška";0.1;2.8;3.3;1.2;0.7;3.8;0.1;3.0;0.1;3.9;2.5;0.3;0.7;4.9;0.2;3.7;0.1;4.1;2.6;0.4;0.4;3.4;0.1;2.4;0.2;6.1;6.8;2.7;0.8;3.6;0.2;2.6;0.1;3.7;3.6;1.0;0.4;3.7;0.2;2.6;0.2;4.9;4.0;1.1;0.6;3.6;0.2;2.6;0.5;3.0;3.6;1.3;0.5;3.0;0.3;1.6;0.8;5.7;5.0;2.8;1.1;2.7;0.3;1.5;0.9;7.5;5.1;1.7;0.9;3.3;0.3;1.9;0.2;2.4;0.9;0.3;0.1;3.4;0.3;1.9;0.2;1.9;1.2;0.6;0.3;3.1;0.2;1.9;1.0;5.4;3.3;0.6;0.8;3.4;2.3;2.4;1.0;13.0;5.0;0.1;0.9;3.5;0.1;2.3;0.7;6.9;3.3;0.2;0.5;3.5;0.2;2.4;0.3;3.1;1.5;0.4;0.1;3.6;0.1;2.4;0.4;5.2;4.5;1.4;0.7;4.1;0.2;3.0
"Obalno-kraška";0.2;5.4;5.7;1.2;0.8;5.2;0.2;2.3;0.2;5.6;4.6;0.5;0.7;4.6;0.2;2.9;0.2;6.6;4.8;1.1;0.7;4.5;0.5;2.7;0.1;2.5;4.6;1.0;0.8;3.5;0.1;2.0;0.2;5.4;5.0;2.0;0.9;3.4;0.1;1.9;0.2;4.1;4.5;1.3;0.8;3.4;0.1;2.0;0.8;4.9;5.9;1.8;0.6;3.1;0.1;1.8;1.1;4.9;6.5;1.4;0.5;3.1;0.1;2.0;1.7;8.4;10.3;0.7;1.5;4.8;0.1;3.1;0.5;3.8;2.5;1.0;0.5;4.0;0.1;2.5;0.2;1.9;1.5;0.2;0.2;4.2;0.0;2.6;0.5;8.5;3.7;0.1;0.5;4.1;0.2;3.7;0.5;4.7;2.4;1.4;0.4;4.8;0.1;2.6;0.2;1.6;1.0;0.2;0.3;4.5;0.1;2.6;0.3;2.8;1.4;0.2;0.3;4.7;0.1;2.7;0.3;2.4;2.7;0.5;0.5;6.3;0.1;3.4

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam HREF= "
"http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=8209"
"target=_blank) Metodološka pojasnila "

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS "
"3.Opombe o spremembah posameznih regij so zapisane k vsaki "
"spremenjeni regiji in so ob izpisu tabele na zaslon dostopne s klikom "
"na ikono za opombe (zvezdica). V opombah je na zaèetku naveden datum, "
"s katerim je opisana teritorialna sprememba upoštevana pri "
"teritorialnem razvršèanju enot za statistiène namene."

